month	day	value
15.0	4.0	111.08333333333333
15.0	5.0	120.54166666666667
15.0	6.0	113.08333333333333
15.0	7.0	92.375
15.0	8.0	222.54166666666666
15.0	9.0	111.79166666666667
15.0	10.0	68.91666666666667
15.0	11.0	137.91666666666666
15.0	12.0	229.5
15.0	13.0	88.29166666666667
15.0	14.0	133.66666666666666
15.0	15.0	122.21739130434783
15.0	16.0	53.375
15.0	17.0	56.47826086956522
15.0	18.0	96.66666666666667
15.0	19.0	129.625
15.0	20.0	140.29166666666666
15.0	21.0	196.25
15.0	22.0	67.91666666666667
15.0	23.0	122.0
15.0	24.0	112.125
15.0	25.0	90.79166666666667
15.0	26.0	109.63636363636364
15.0	27.0	86.21739130434783
15.0	28.0	89.0
15.0	29.0	103.16666666666667
0.0	0.0	0.0
16.0	0.0	139.34782608695653
16.0	1.0	90.41666666666667
16.0	2.0	55.125
16.0	3.0	58.083333333333336
16.0	4.0	81.26086956521739
16.0	5.0	149.58333333333334
16.0	6.0	59.333333333333336
16.0	7.0	73.91666666666667
16.0	8.0	77.375
16.0	9.0	80.29166666666667
16.0	10.0	142.04166666666666
16.0	11.0	77.0
16.0	12.0	72.04166666666667
16.0	13.0	74.41666666666667
16.0	14.0	79.76190476190476
16.0	15.0	66.27272727272727
16.0	16.0	105.04347826086956
16.0	17.0	111.0
16.0	18.0	139.22727272727272
16.0	19.0	103.70833333333333
16.0	20.0	129.83333333333334
16.0	21.0	99.55
16.0	22.0	111.07142857142857
16.0	23.0	66.0
16.0	24.0	60.61538461538461
16.0	25.0	70.66666666666667
16.0	26.0	92.16666666666667
16.0	27.0	103.79166666666667
16.0	28.0	100.08333333333333
16.0	29.0	134.45833333333334
16.0	30.0	104.625
17.0	0.0	83.25
17.0	1.0	99.20833333333333
17.0	2.0	115.75
17.0	3.0	136.83333333333334
17.0	4.0	79.91666666666667
17.0	5.0	128.875
17.0	6.0	106.45833333333333
17.0	7.0	136.625
17.0	8.0	160.1
17.0	9.0	143.20833333333334
17.0	10.0	78.83333333333333
17.0	11.0	105.33333333333333
17.0	12.0	77.08333333333333
17.0	13.0	74.125
17.0	14.0	63.416666666666664
17.0	15.0	99.66666666666667
17.0	16.0	120.08333333333333
17.0	17.0	84.41666666666667
17.0	18.0	114.30434782608695
17.0	19.0	114.33333333333333
17.0	20.0	168.79166666666666
